"","Name","Alter Ego","Occupation","Marital Status","Known Relatives","Group Affiliation","Base of Operations","Height","Weight","Hair","Eyes","First Appearance"
"1","Superman (Earth-1)","Clark Kent","Newspaper Reporter","Single","Jor-El (father, deceased), Lara (mother, deceased), Kara Zor-El (cousin, deceased), Zor-El (uncle), Allura (aunt), Jonathan and Martha Kent (adoptive parents, deceased)","Justice League of America","Metropolis","6 ft. 3 in.","225 lbs.","Black","Blue","Superman #46"
"2","Superman (Earth-2)","Clark Kent","Newspaper Reporter, later Editor","Married","Jor-L (father, deceased), Lora (mother, deceased), Jon Kent (adoptive father, deceased), Mary Kent (adoptive mother, deceased), Lois Lane Kent (wife), Lucille Lane Tompkins (sister-in-law), George Tompkins (brother-in-law), Susan Tompkins (niece)","All-Star Squadron, Justice Society of America","Metropolis","6 ft. 2 in.","222 lbs.","Black","Blue","Action Comics #1"
"3","Slam Bradley (Earth-1)","None","Private Investigator","Single","None","None","Cleveland, Ohio, later New York City","6 ft.","182 lbs.","Black","Blue","Detective Comics #1"
"4","Doctor Occult (Earth-2)","Unknown","Private Investigator","Single","None","None","An unidentified American city","6 ft. 1 in.","189 lbs.","Black","Gray","New Fun #6"
"5","Batman (Earth-2)","Bruce Wayne","Initially Millionaire Playboy, later Gotham City Police Commissioner","Widowed","Thomas and Martha Wayne (parents, deceased), Phillip Wayne (uncle, deceased), Selina Kyle Wayne (wife, deceased), Helena Wayne (daughter, deceased), Karl Kyle (brother-in-law)","Justice Society of America, All-Star Squadron","Gotham City","6 ft. 2 in.","210 lbs.","Black","Blue","Detective Comics #27"
"6","Flash (Earth-2)","Jay Garrick","Research Scientist, Director of Keystone Research Laboratories, Inc.","Married","Joan (wife), Major Williams (father-in-law, presumably now deceased)","Justice Society of America, All-Star Squadron","Keystone City","5 ft. 11 in.","179 lbs.","Brown w/white temples","Blue","Flash Comics #1"
"7","Air Wave (Earth-2)","Lawrence (Larry) Jordan","District Attorney","Married","Helen (wife), Hal (son), Jim (cousin), Jack (cousin), Hal (cousin), Jason (cousin), Jennifer (cousin), Jeremiah (uncle), Titus Thomas Jordan (uncle)","All-Star Squadron","New York","5 ft. 10 in.","175 lbs.","Brown","Brown","Detective Comics #60"
"8","Crimson Avenger (Earth-2)","Lee Travis","Newspaper Publisher","Single","None","All-Star Squadron, Seven Soldiers of Victory","New York City","6 ft.","189 lbs.","Brown","Brown","Detective Comics #20"
"9","Alfred Beagle (Earth-2)","None","Butler","Single","Jarvis Beagle (father, deceased)","None","Gotham City","6 ft.","160 lbs.","Black","Blue","Batman #16"
"10","Robin (Earth-2)","Richard Grayson","Former Aerialist and Student, later Ambassador and Lawyer","Single","John Grayson (father, deceased), Mary Grayson (mother, deceased), George Grayson (uncle, presumed deceased), Charles Grayson (cousin)","All-Star Squadron, Justice Society of America","Gotham City","6 ft.","187 lbs.","Black","Blue","Detective Comics #38"
"11","Aquaman (Earth-2)","Arthur Curry","Adventurer","Single","Tom Curry (father, deceased)","All-Star Squadron","Mobile","6 ft. 1 in.","325 lbs.","Blond","Blue","More Fun Comics #73"
"12","Lois Lane (Earth-2)","None","Reporter","Married","Kal-L (husband), Susie Tompkins (niece)","None","Metropolis","5 ft. 7 in.","122 lbs.","Black","Blue","Action Comics #1"
"13","Flash (Earth-1)","Barry Allen","Former Police Scientist","Married","Iris (wife), Henry (father), Nora (mother), Eric Russell (father-in-law), Fran Russell (mother-in-law), Prof. Ira West (stepfather-in-law), Wallace West (nephew)","Justice League of America","Central City","5 ft. 11 in.","179 lbs.","Blond","Blue","Showcase #4"
"14","Atom (Earth-2)","Al Pratt","Professor of Nuclear Physics","Married","Mary (wife), Nuklon (godson)","Justice Society of America, All-Star Squadron","Calvin College, Earth-2","5 ft. 1 in.","150 lbs.","Red","Blue","All-American Comics #19"
"15","Black Canary (Earth-2)","Dinah Drake Lance","Florist","Married","Richard Drake (father, deceased), Larry Lance (husband, deceased), Dinah Laurel Lance (daughter)","Justice Society of America","Gotham City","5 ft. 5 in.","126 lbs.","Blond","Blue","Flash Comics #86"
"16","King Faraday (Earth-1)","I -- Spy","Government Agent","Single","None","Classified","Mobile","6 ft.","180 lbs.","White","Blue","Danger Trail #1"
"17","Adam Strange (Earth-1)","None","Archaeologist","Married","Alanna (wife), Sardath (father-in-law)","None","Ranagar, city on Rann, third planet of Alpha Centauri","6 ft.","175 lbs.","Blond","Blue","Showcase #17"
"18","Blackhawk (Earth-1)","Bart Hawk","Leader of the paramilitary organization called the Blackhawks","Single","Jack (brother, deceased), Connie (sister, deceased)","The Blackhawks","Blackhawk Island, location classified","6 ft. 1 in.","195 lbs.","Black","Blue","Blackhawk #108"
"19","Animal Man (Earth-1)","Buddy Baker","Movie Stunt Man","Married","Ellen Frazier (wife), Cliff and Maxine (children)","The Forgotten Heroes","The Grand Canyon","5 ft. 11 in.","178 lbs.","Blond","Blue","Strange Adventures #180"
"20","Zatara (Earth-2)","John (Giovanni) Zatara","Stage Magician, Adventurer","Widower","Leonardo Da Vinci (reputed ancestor, deceased), Luigi Zatara (grandfather, deceased), Sindella (wife, deceased), Zatanna (daughter)","All-Star Squadron","Mobile","5 ft. 11 in.","170 lbs.","Black","Blue","Action Comics #1"
"21","Mr. America (Earth-2)","Tex Thomson","Private Investigator, later Government Agent","Single","None","All-Star Squadron","Unnamed American City, later Europe and the Pacific during World War II","5 ft. 11 in.","187 lbs.","Blond","Blue","Action Comics #1"
"22","Sandman (Earth-2)","Wesley Dodd(s)","Wealthy Socialite","Single","None","Justice Society of America, All-Star Squadron","New York City","5 ft. 11 in.","172 lbs.","Black","Blue","New York World's Fair Comics (#1)"
"23","Hop Harrigan (Earth-2)","None","Pilot, Vice-President of All-American Aviation Company, Former Lieutenant in U.S. Army Air Corps","Single","Colonel A. Harrigan (father, deceased), Maria de las Cordelliras Harrigan (mother, deceased), Donna Sanchez de Rodriguez Manuella de las Cordelliras (aunt, probably now deceased), Mariana Harrigan (sister)","All-American Aviation Company","Mobile","5 ft. 10 in.","173 lbs.","Blond","Blue","All-American Comics #1"
"24","Hawkman (Earth-2)","Carter Hall; Prince Khufu","Millionaire, Research Scientist, Weapons Collector, Archaeologist","Married","Shiera Hall (wife), Hector (son)","Justice Society of America, All-Star Squadron","New York City","6 ft. 1 in.","195 lbs.","Blond","Blue","Flash Comics #1"
"25","Johnny Thunder (Earth-2)","Johnny Thunderbolt","Various: Window-Washer, World Heavyweight Boxing Champion, G-Man, Rodeo Rider, U.S. Naval Seaman, Ki","Single","Simon B. Thunder (father, presumably deceased), Mildred Thunder (mother), two unnamed siblings, Peachy Pet Thunder (adopted daughter)","Justice Society of America, All-Star Squadron","New York City","5 ft. 11 in.","176 lbs.","Blond","Blue","Flash Comics #1"
"26","Whip (Earth-2)","Rodney Elwood Gaynor","Millionaire Socialite","Single","None","All-Star Squadron","Seguro, later New York City","5 ft. 10 in.","174 lbs.","Black","Blue","Flash Comics #1"
"27","King (Earth-2)","""King"" Standish","Wealthy Man of Leisure","Single (at least into 1943)","None","None","Unnamed city","5 ft. 11 in.","184 lbs.","Blond","Blue","Flash Comics #3"
"28","Gay Ghost (Earth-2)","Keith Everet, Charles Collins","Formerly Earl of Strethmere, later Pilot, F.B.I. Agent","Single","Unnamed deceased ancestors, still active as ghosts","None","Gotham City","5 ft. 11 in.","189 lbs.","Brown","Blue","Sensation Comics #1"
"29","Ghost Patrol (Earth-2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flash Comics #29"
"30","Black Pirate (Earth-1)","Jon Valor","Freedom Fighter","Married","Donna Bonita (wife), Justin (son), Ruthven Valor (ancestor)","None","16th century Europe and the High Seas","5 ft. 11 in.","164 lbs.","Brown","Brown","Action Comics #23"
"31","Challengers of the Unknown (Earth-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Showcase #6"
"32","Hourman (Earth-2)","Rex ""Tick-Tock"" Tyler","Chemist, now President of the Tyler Chemical Company","Married","Wendi (wife), Rick (son)","Justice Society of America, All-Star Squadron, Freedom Fighters","New York City","5 ft. 10 in.","180 lbs.","Brown","Blue","Adventure Comics #48"
"33","Star Hawkins (Earth-1)",NA,"Private Detective","Single","None","None","New City, Earth, circa 2070","5 ft. 10 in.","176 lbs.","Brown","Blue","Strange Adventures #114"
"34","Justice Society of America (Earth-2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"All-Star Comics #3"
"35","Green Lantern (Earth-2)","Alan Wellington Scott","Engineer, former Radio Program Director, former owner of the Gotham Broadcasting Company","Single","Jennie-Lynn Hayden (daugther), Todd Rice (son)","Justice Society of America, All-Star Squadron","Formerly Gotham City, now Keystone City","6 ft.","201 lbs.","Blond","Blue","All-American Comics #16"
"36","Spectre (Earth-2)","Jim Corrigan","Police Detective","Single","None","Justice Society of America, All-Star Squadron","New York City","6 ft. 1 in.","184 lbs.","Red","Blue","More Fun Comics #52"
"37","Doctor Fate (Earth-2)","Kent Nelson","Archaeologist, Physician","Married","Inza (wife), Sven (father, deceased)","Justice Society of America, All-Star Squadron","A tower just outside Salem, Massachusetts","6 ft. 2 in.","197 lbs.","Blond","Blue","More Fun Comics #55"
"38","Congo Bill (Earth-1)","Unknown","Explorer, Big-Game Trapper, Naturalist, Corporate President","Single","None","The Forgotten Heroes","Kenya, Africa","6 ft. 1 in.","186 lbs.","Black","Blue","More Fun Comics #56"
"39","Starman (Earth-2)","Theodore (Ted) Knight","Millionaire, Amateur Astronomer","Widower","Henry Knight (uncle, presumed deceased), Sandra Knight (cousin), unnamed wife (deceased)","Justice Society of America, All-Star Squadron","New York City","6 ft.","177 lbs.","Brown","Blue","Adventure Comics #61"
"40","Doctor Mid-Nite (Earth-2)","Dr. Charles McNider","Former Physician, now Author","Single","None","Justice Society of America, All-Star Squadron","An unidentified American city","5 ft. 11 in.","179 lbs.","Blond","Blue","All-American Comics #25"
"41","Sargon (Earth-2)","John Sargent","Stage Magician","Single","Richard Biddle Sargent (father, deceased), unnamed mother (presumed deceased), Grace (niece), Paul (nephew-in-law), GraceÃÂs unnamed child","All-Star Squadron","Mobile","5 ft. 11 in.","176 lbs.","Brown","Brown","All-American Comics #26"
"42","Shining Knight (Earth-2)","Sir Justin, alias Justin Arthur","Knight, Adventurer, former assistant to Museum Curator","Single","None","All-Star Squadron, Seven Soldiers of Victory, Knights of the Round Table","Camelot in the 6th Century A.D., New York City in the 20th Century","6 ft. 1 in.","185 lbs.","Blond","Blue","Adventure Comics #66"
"43","Johnny Quick (Earth-2)","Johnny Chambers","Newsreel Photographer for Sees All/Tells All News","Married","Libby Lawrence (wife)","All-Star Squadron","New York City","5 ft. 11 in.","170 lbs.","Blond","Blue","More Fun Comics #71"
"44","Vigilante (Earth-2)","Greg Sanders","Professional Country Singer","Single","Unnamed Grandfather (deceased), Sheriff Sanders (father, deceased)","All-Star Squadron, Seven Soldiers of Victory","New York City and the American West","6 ft.","188 lbs.","Black","Hazel","Action Comics #42"
"45","Star-Spangled Kid (Earth-2)","Sylvester Pemberton, Jr.","Adventurer, Owner of Stellar Studios","Single","Sylvester John Pemberton, Sr. (father, deceased), Gloria Pemberton (mother, deceased), Merry Pemberton King (adoptive sister, deceased), Arthur Pemberton (nephew), Henry King, Jr. (alias Brainwave, nephew)","All-Star Squadron, Infinity, Inc., Justice Society of America, Seven Soldiers of Victory","Stellar Studios, Los Angeles","5 ft. 8 in.","136 lbs.","Black","Blue","Star Spangled Comics #1"
"46","Tarantula (Earth-2)","Jonathan Law","Mystery Novelist","Single","None","All-Star Squadron","New York City","5 ft. 10 in.","180 lbs.","Blond","Blue","Star Spangled Comics #1"
"47","Green Arrow (Earth-2)","Oliver Queen","Independently Wealthy Expert on American Indian Culture","Single","None","All-Star Squadron, Seven Soldiers of Victory","New York City",NA,NA,NA,NA,"More Fun Comics #73"
"48","Wonder Woman (Earth-2)","Princess Diana alias Diana Prince","Nurse, Secretary, Intelligence Agent","Married","Queen Hippolyta (mother), General Steve Trevor (husband), Hippolyta Trevor (daughter)","Justice Society of America, All-Star Squadron","Washington D.C.","5 ft. 8 in.","122 lbs.","Black","Blue","All-Star Comics #8"
"49","Little Boy Blue (Earth-2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensation Comics #1"
"50","Johnny Thunder (Earth-1)","John Tane","Schoolteacher","Married","William Tane (father), Unnamed Mother (deceased), Jeanne Walker Tane (wife), Charles Tane (son), Rebecca Tane (daughter)","None","Mesa City","5 ft. 10 in.","177 lbs.","Blond","Blue","All-American Comics #100"
"51","Pow-Wow Smith (Earth-1)","Ohiyesa (""The Winner"")","Sheriff","Engaged","Fleetfoot (fiancee), unnamed mother, Chief Thunderwater (adoptive father), Horse Hunter (twin brother)","None","Red Deer Valley","6 ft. 2 in.","190 lbs.","Black","Black","Detective Comics #151"
"52","Strong Bow (Earth-1)","None","Peacemaker","Single","Wise Owl (father; deceased)","None","All of North America","6 ft.","165 lbs.","Black","Brown","All-Star Western #58"
"53","Wyoming Kid (Earth-1)","Bill Polk, a.k.a. Johnny Jones","Freelance Deputy Sheriff","Single","Henry Polk (father)","None","The Old West","6 ft.","170 lbs.","Brown","Blue","Western Comics #1"
"54","Tomahawk (Earth-1)","Tom Hawk","Frontiersman, Freedom Fighter","Married","Moon Fawn (wife), Hawk, Small Eagle (sons), Chief Grey Elk (father-in-law), Wise Owl (brother-in-law)","Leader of Tomahawk's Rangers","America, circa 1750-1820","6 ft. 1 in.","184 lbs.","Blond","Blue","Star Spangled Comics #69"
"55","Viking Prince (Earth-1)","Jon","Adventurer","Single","King Rikk (father according to one legend), Ailsa (twin sister; deceased)","None","Scandinavia in the 10th Century A.D.","5 ft. 11 in.","171 lbs.","Blond","Blue","Brave and the Bold #1"
"56","Balloon Buster (Earth-1)","Steven Henry Savage, Jr.","Lieutenant, U.S. Army Air Corps","Single","Steven Henry Savage Sr. (father, deceased)","U.S. Army Air Corps","France, circa World War I","5 ft. 11 in.","178 lbs.","Blond","Blue","All-American Men of War #112"
"57","TNT (Earth-2)","Thomas N. Thomas","High School Instructor in Chemistry and Physical Education","Single","None","All-Star Squadron","Unnamed American City","5 ft. 11 in.","175 lbs.","Brown","Brown","Star Spangled Comics #7"
"58","Space Ranger (Earth-1)","Rick Starr","Business Executive","Single","Thaddeus Starr (father)","None","New York City and an asteroid between Mars and Jupiter, circa 22nd century","6 ft. 2 in.","194 lbs.","Black","Blue","Showcase #15"
"59","Rex the Wonder Dog (Earth-1)","Rex","Wonder Dog, Soldier, Performer, Astronaut, etc.","Inapplicable","Pooch (brother)","Mobile","Mobile","2 ft. 8 in.","80 lbs.","White","Blue","Rex the Wonder Dog #1"
"60","Detective Chimp (Earth-1)","Bobo","Amateur Detective","Single","None","None","Oscaloosa County, Florida","3 ft. 7 in.","76 lbs.","Black","Black","Adventures of Rex the Wonder Dog #4"
"61","B'Wana Beast (Earth-1)","Michael Payson Maxwell","Game Ranger, Zoologist","Single","Gilbert Maxwell (father)","None","Zambesi Nation, Africa","6 ft.","185 lbs.","Blond","Blue","Showcase #66"
"62","Star Rovers (Earth-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mystery in Space #66"
"63","Captain Storm (Earth-1)","William Storm","P.T. Boat Commander, U.S. Navy","Single","None","Detached Service Military Unit Code-named The Losers","Europe and the Pacific, circa World War Two","5 ft. 11 in.","167 lbs.","Brown","Brown","Capt. Storm #1"
"64","Gunner (Earth-1)","Unrevealed","Private, U.S. Marines","Single","None","Detached Service Military Unit code-named the Losers","Europe and the Pacific, circa World War II","5 ft. 10 in.","162 lbs.","Blond","Blue","All-American Men of War #67"
"65","Fighting Devil Dog (Earth-1)","Lt. Larry Rock","Marine","Single","John (father, deceased), Sgt. Frank Rock (brother), Mickey and Eddie (brothers), Josh (brother, deceased), Bill (brother), unnamed sister and stepfather","U.S. Marine Corps","Pacific Theatre of Operations, World War II",NA,NA,NA,NA,"Our Fighting Forces #95"
"66","Ultra the Multi-Alien (Earth-1)","Ace Arn","Space Pilot","Engaged","Bonnie Denton Blake (fiancee)","None","Dalesville, USA","6 ft.","Indeterminate","White","Black","Mystery in Space #103"
"67","Atomic Knight (Earth-1)","Gardner Grayle","Scientific Researcher","Single","None","None","S.T.A.R. Labs, Alexandria, Virginia","6 ft. 1 in.","189 lbs.","Red","Blue","Strange Adventures #117"
"68","Enemy Ace (Earth-1)","Baron Hans Von Hammer","Fighter Pilot","Single","Unnamed father (deceased), Ingrid (sister)","Jagdstaffel 17, German Flying Corps","Germany, circa 1917","5 ft. 11 in.","161 lbs.","Auburn","Blue","Our Army at War #151"
"69","Metamorpho (Earth-1)","Rex Mason","Former Soldier of Fortune","Married","Sapphire Stagg Mason (wife), Simon Stagg (father-in-law)","The Outsiders","Los Angeles","6 ft. 1 in.","200 lbs.","None","Black","Brave and the Bold #57"
"70","Rip Hunter (Earth-1)","Ripley ""Rip"" Hunter","Scientist, Professional Time-traveler","Single","None","The Forgotten Heroes","Northern California","5 ft. 11 in.","175 lbs.","Blond","Blue","Showcase #20"
"71","Immortal Man (Earth-1)","Various","Various, usually involving ancient history","Single","None","The Forgottten Heroes","Mobile","Various","Various","Various","Various","Strange Adventures #177"
"72","Cave Carson (Earth-1)","Calvin ""Cave"" Carson","Professional Spelunker","Single","None","The Forgotten Heroes","Inside Earth","5 ft. 11 in.","178 lbs.","Brown","Blue","Brave and the Bold #31"
"73","Enchantress (Earth-1)","June Moone","Former Free-lance Artist and Super-Heroine, now Professional Criminal","Single","None","The Forgottten Villains","Mobile","5 ft. 6 in.","126 lbs.","Black","Green","Strange Adventures #187"
"74","Mademoiselle Marie (Earth-1)","Unrevealed","Leader in French Resistance","Single","Unnamed father (deceased), Andre (grandfather, now deceased), Julia Remarque Pennyworth (alleged daughter)","French Resistance","Occupied France circa World War II","5 ft. 1 in.","97 lbs.","Brown","Blue","Star Spangled War Stories #84"
"75","Tommy Tomorrow (Earth-1)","Thomas Tomorrow","Colonel in the Space Planeteers, 21st-Century Interplanetary Police Force","Single","Buddy Blank (grandfather), Horatio Tomorrow (adoptive father)","The Space Planeteers","Planeteer Headquarters, Gotham City, Earth","5 ft. 11 in.","179 lbs.","Blond","Blue","Real Fact Comics #6"
"76","Phantom Stranger (Earth-1)","Unknown, if any","Conscience/advocate","Unknown","Unknown","None","Unknown, if any","6 ft. 2 in.","185 lbs.","White","Unknown","Phantom Stranger #1"
"77","Johnny Cloud (Earth-1)","Flying Cloud (tribal name)","Captain, Fighter Pilot, Commando, U.S. Army Air Force","Single","Unnamed father, Grey Eagle (grandfather)","Detached Service Military Unit Code-named the Losers","Europe, circa World War II","5 ft. 11 in.","180 lbs.","Black","Brown","All-American Men of War #82"
"78","Aquaman (Earth-1)","Arthur Curry","Ex-King of Atlantis, now Professional Crimefighter","Married","Mera (wife), Orm (half-brother), Arthur Jr. (son, deceased), Tom and Atlanna Curry (parents, deceased)","Justice League of America","City of New Venice","6 ft. 1 in.","325 lbs.","Blond","Blue","Adventure Comics #229"
"79","Aqualad (Earth-1)","Garth","None","Single","Thar (father, deceased), Berra (mother, deceased)","Teen Titans","Atlantis","5 ft. 10 in.","235 lbs.","Black","Purple","Adventure Comics #269"
"80","Atom (Earth-1)","Raymond (Ray) Palmer","Physics Professor","Separated","Jean (wife)","Justice League of America","City of Morlaidh, Amazon Jungle","6 ft.","180 lbs.","Auburn","Brown","Showcase #34"
"81","All-Star Squadron (Earth-2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Justice League of America #193"
"82","Boy Commandos (Earth-2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Detective Comics #64"
"83","Liberty Belle (Earth-2)","Libby Belle Lawrence","Newspaper Columnist, Radio and Television Commentator","Married","Bess Lynn (alias Miss Liberty, ancestor), Major James Lawrence (father, deceased), unnamed mother (deceased), Johnny Chambers (husband)","All-Star Squadron","New York City","5ft. 6.5 in.","123 lbs.","Blonde","Blue","Boy Commandos #1"
"84","Robotman (Earth-2)","Dr. Robert Crane, Paul Dennis","Former scientist, later crimefighter","Single","(as Grayson) Richard ""Dick"" Grayson (alias Robin, cousin, deceased)","All-Star Squadron","New York City","6 ft. 1 in.","487 lbs.","None","Red","Star Spangled Comics #7"
"85","Commander Steel (Earth-2)","Henry (Hank) Heywood","Former U.S. Marine, now Professional Crimefighter","Single","Hank Heywood III (grandson)","All-Star Squadron","Mobile","6 ft.","378 lbs.","Black","Blue","Steel the Indestructible Man #1"
"86","Justice League of America (Earth-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brave and the Bold #28"
